"ufr_id","fba_country_name","fba_time_zone","longevity","suitability","sustainability","apply_time","wear_off_time","indoor_time_percentage","number_of_sprays","projection","sillage","like","temp_avg","hum_avg","dew_point_avg","uv_index_avg","temp_feels_like_avg","atm_pressure_avg","clouds_avg","visibility_avg","wind_speed_avg","rain_avg","snow_avg","weather_main","weather_description","users_id","fp_id","user_check","gender","dob","sweat","height","weight","profession","skin_type","climate","season","fp_country","fp_time_zone","fragrance_id","fragrance","fragrance_gender","fragrance_discontinued","fragrance_type","brand_id","brand","brand_discontinued","brand_tier","bo_location_country","bo_location_zone","fba_location_country","fba_location_zone"
"5","Pakistan","+05:00","14","","0.7","2021-03-04 17:21:00","2021-03-04 17:35:00","80","7","49","16.5","78","78.42","21.75","35.66","6.39","72.09","1014.25","61.62","60000","5.95","0.53","","Rain","light rain","28","12","1","Male","1998-01-01","10","68","67","Footballer","Normal","Temperate (Warm & Mild Winter)","Winter","Pakistan","+05:00","2","Parfums Prestige Paris 1965","Male","","Eau de Toilette","7","Brut","","Low-End","France","+02:00","Pakistan","+05:00"
"5","India","+05:30","14","","0.7","2021-03-04 17:21:00","2021-03-04 17:35:00","80","7","49","16.5","78","78.42","21.75","35.66","6.39","72.09","1014.25","61.62","60000","5.95","0.53","","Rain","light rain","28","12","1","Male","1998-01-01","10","68","67","Footballer","Normal","Temperate (Warm & Mild Winter)","Winter","Pakistan","+05:00","2","Parfums Prestige Paris 1965","Male","","Eau de Toilette","7","Brut","","Low-End","France","+02:00","India","+05:30"
"5","France","+02:00","14","","0.7","2021-03-04 17:21:00","2021-03-04 17:35:00","80","7","49","16.5","78","78.42","21.75","35.66","6.39","72.09","1014.25","61.62","60000","5.95","0.53","","Rain","light rain","28","12","1","Male","1998-01-01","10","68","67","Footballer","Normal","Temperate (Warm & Mild Winter)","Winter","Pakistan","+05:00","2","Parfums Prestige Paris 1965","Male","","Eau de Toilette","7","Brut","","Low-End","France","+02:00","France","+02:00"
"5","United Arab Emirates","+04:00","14","","0.7","2021-03-04 17:21:00","2021-03-04 17:35:00","80","7","49","16.5","78","78.42","21.75","35.66","6.39","72.09","1014.25","61.62","60000","5.95","0.53","","Rain","light rain","28","12","1","Male","1998-01-01","10","68","67","Footballer","Normal","Temperate (Warm & Mild Winter)","Winter","Pakistan","+05:00","2","Parfums Prestige Paris 1965","Male","","Eau de Toilette","7","Brut","","Low-End","France","+02:00","United Arab Emirates","+04:00"
"6","France","+02:00","132","","13.2","2021-03-24 14:10:00","2021-03-24 16:22:00","90","1","1.5","3.5","83","90.76","30.38","49.41","10.34","86.04","1009.88","13.5","60000","11.08","","","Clear","clear sky","9","11","1","Male","1999-02-15","54","68","65","Student","Normal","Tropical (Hot & Humid)","Spring","Pakistan","+05:00","6","Noir","Male","","Eau de Toilette","10","Lacoste","","Mid","France","+02:00","France","+02:00"
"6","India","+05:30","132","","13.2","2021-03-24 14:10:00","2021-03-24 16:22:00","90","1","1.5","3.5","83","90.76","30.38","49.41","10.34","86.04","1009.88","13.5","60000","11.08","","","Clear","clear sky","9","11","1","Male","1999-02-15","54","68","65","Student","Normal","Tropical (Hot & Humid)","Spring","Pakistan","+05:00","6","Noir","Male","","Eau de Toilette","10","Lacoste","","Mid","France","+02:00","India","+05:30"
"6","Pakistan","+05:00","132","","13.2","2021-03-24 14:10:00","2021-03-24 16:22:00","90","1","1.5","3.5","83","90.76","30.38","49.41","10.34","86.04","1009.88","13.5","60000","11.08","","","Clear","clear sky","9","11","1","Male","1999-02-15","54","68","65","Student","Normal","Tropical (Hot & Humid)","Spring","Pakistan","+05:00","6","Noir","Male","","Eau de Toilette","10","Lacoste","","Mid","France","+02:00","Pakistan","+05:00"
"6","United Arab Emirates","+04:00","132","","13.2","2021-03-24 14:10:00","2021-03-24 16:22:00","90","1","1.5","3.5","83","90.76","30.38","49.41","10.34","86.04","1009.88","13.5","60000","11.08","","","Clear","clear sky","9","11","1","Male","1999-02-15","54","68","65","Student","Normal","Tropical (Hot & Humid)","Spring","Pakistan","+05:00","6","Noir","Male","","Eau de Toilette","10","Lacoste","","Mid","France","+02:00","United Arab Emirates","+04:00"
"6","United States of America","-07:00","132","","13.2","2021-03-24 14:10:00","2021-03-24 16:22:00","90","1","1.5","3.5","83","90.76","30.38","49.41","10.34","86.04","1009.88","13.5","60000","11.08","","","Clear","clear sky","9","11","1","Male","1999-02-15","54","68","65","Student","Normal","Tropical (Hot & Humid)","Spring","Pakistan","+05:00","6","Noir","Male","","Eau de Toilette","10","Lacoste","","Mid","France","+02:00","United States of America","-07:00"
"6","United Kingdom of Great Britain and Northern Ireland","+01:00","132","","13.2","2021-03-24 14:10:00","2021-03-24 16:22:00","90","1","1.5","3.5","83","90.76","30.38","49.41","10.34","86.04","1009.88","13.5","60000","11.08","","","Clear","clear sky","9","11","1","Male","1999-02-15","54","68","65","Student","Normal","Tropical (Hot & Humid)","Spring","Pakistan","+05:00","6","Noir","Male","","Eau de Toilette","10","Lacoste","","Mid","France","+02:00","United Kingdom of Great Britain and Northern Ireland","+01:00"
